ISIN;nom;ticker
BE0974310428;X-Fab;XFAB
CH0308403085;GeNeuro;GNRO
FR0000030827;Ige + Xao;IGE
FR0000031122;Air France - KLM;AF
FR0000031577;Virbac;VIRP
FR0000031684;Rothschild & Co;ROTH
FR0000031775;Vicat;VCT
FR0000032278;Latecoere;LAT
FR0000032526;Guerbet;GBT
FR0000032658;Synergie;SDG
FR0000033003;Touax;TOUP
FR0000033219;Altarea;ALTA
FR0000033243;Immob.Dassault;IMDA
FR0000033904;Jacquet Metals;JCQ
FR0000034639;Altran Techn.;ALT
FR0000035081;Icade;ICAD
FR0000035164;Beneteau;BEN
FR0000035370;Bastide Le Confort;BLC
FR0000036675;Groupe Crit;CEN
FR0000036816;Tour Eiffel;EIFF
FR0000038242;Lumibird;LBIRD
FR0000038259;Eurofins Scient.;ERF
FR0000038465;Passat;PSAT
FR0000038531;Hf;HF
FR0000038606;Manitou Bf;MTU
FR0000039091;Robertet;RBT
FR0000039109;Seche Environnement;SCHP
FR0000039232;Aurea;AURE
FR0000039299;Bollore;BOL
FR0000039620;Mersen;MRN
FR0000044448;Nexans;NEX
FR0000044612;Afone;AFO
FR0000045072;Credit Agricole;ACA
FR0000050353;Lisi;FII
FR0000050809;Sopra Steria Group;SOP
FR0000051070;Maurel Et Prom;MAU
FR0000051393;Idi;IDIP
FR0000051732;Atos;ATO
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000052516;Vilmorin Cie;RIN
FR0000052623;Dedalus France;DEDAL
FR0000052680;Oeneo;SBT
FR0000053027;Akwel;AKW
FR0000053035;Gea Grenobl.Elect.;GEA
FR0000053225;Metropole Tv;MMT
FR0000053324;Alpes (compagnie);CDA
FR0000053381;Derichebourg;DBG
FR0000053506;Cegedim;CGM
FR0000053837;Altamir;LTA
FR0000054199;St Dupont;DPT
FR0000054231;High Co;HCO
FR0000054322;Cibox Inter A Ctiv;CIB
FR0000054470;Ubisoft Entertainment;UBI
FR0000054694;Naturex;NRX
FR0000054900;Tf1;TFI
FR0000060329;Psb Industries;PSB
FR0000060402;Albioma;ABIO
FR0000060832;Precia;PREC
FR0000060873;Marie Brizard Wine and Spirits;MBWS
FR0000060949;Tivoly;TVLY
FR0000061129;Boiron;BOI
FR0000062671;Groupe Gorge;GOE
FR0000062796;Vranken Monopole;VRAP
FR0000062804;Alpha Mos;ALM
FR0000062978;Adl Partner;ALP
FR0000063091;Anf Immobilier;ANF
FR0000063737;Aubay;AUB
FR0000063935;Bonduelle;BON
FR0000064297;Innelec Multimedia;INN
FR0000064404;Media 6;EDI
FR0000064446;CIS (Catering Intl Sces);CTRG
FR0000064578;Covivio;COV
FR0000064784;FFP;FFP
FR0000065278;Hopscotch Groupe;HOP
FR0000065484;Lectra;LSS
FR0000065864;Sogeclair;SOG
FR0000066052;Avenir Telecom;AVT
FR0000066540;Herige;ALHRG
FR0000066607;Lacroix Industries;LACR
FR0000066672;Gl Events;GLO
FR0000066722;Guillemot;GUI
FR0000066755;Haulotte Group;PIG
FR0000071797;Infotel;INF
FR0000071946;Alten;ATE
FR0000072373;Egide;GID
FR0000072399;Belier;BELI
FR0000072597;It Link;ITL
FR0000072894;Cast;CAS
FR0000073041;Pierre Vacances;VAC
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000073793;Devoteam;DVT
FR0000073843;ITS group;ITS
FR0000074072;Bigben Interactive;BIG
FR0000074148;Assystem;ASY
